               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02452,           0.0090329,           0.0072202,             0.88581,              0.8882,             0.93899,             0.69357,            0.023741,           0.0057797,           0.0068331,          0.00033258,          0.00033258,            0.067074
                   1,            0.024964,           0.0088175,              0.0078,             0.88226,             0.85717,             0.91257,             0.67373,            0.023937,           0.0058309,           0.0077175,          0.00066186,          0.00066186,             0.03407
                   2,            0.025901,            0.009353,           0.0095789,             0.90437,             0.82311,             0.91664,             0.66661,            0.025027,           0.0063871,           0.0081679,          0.00097504,          0.00097504,           0.0010503
                   3,            0.026286,           0.0095873,            0.012959,             0.83739,             0.82452,             0.87024,             0.61586,            0.025777,           0.0062932,             0.01101,          0.00094605,          0.00094605,          0.00094605
                   4,             0.02535,           0.0091776,            0.010673,             0.89153,             0.82217,             0.91642,             0.67356,            0.023997,           0.0059692,           0.0092033,          0.00094605,          0.00094605,          0.00094605
                   5,            0.025651,           0.0091139,           0.0099469,             0.90401,             0.85165,             0.92597,             0.68797,             0.02434,           0.0063414,            0.007319,          0.00090546,          0.00090546,          0.00090546
                   6,            0.025455,             0.00894,           0.0092416,             0.89091,              0.8668,             0.93876,             0.69388,            0.023291,           0.0058202,           0.0067379,          0.00085502,          0.00085502,          0.00085502
                   7,            0.025128,           0.0085833,           0.0085751,             0.88869,             0.89117,             0.94322,             0.70385,            0.022773,           0.0057923,           0.0062285,          0.00079595,          0.00079595,          0.00079595
                   8,            0.024595,           0.0080782,            0.007808,             0.89207,             0.87348,             0.92518,             0.69191,            0.023077,           0.0056705,             0.00737,          0.00072973,          0.00072973,          0.00072973
                   9,            0.023727,           0.0084143,           0.0069472,             0.91671,             0.88151,             0.94337,             0.69681,            0.022865,           0.0056886,           0.0056338,          0.00065796,          0.00065796,          0.00065796
                  10,            0.023647,           0.0084977,           0.0062139,             0.90918,             0.87391,             0.94529,               0.712,            0.022258,           0.0056319,           0.0057376,          0.00058244,          0.00058244,          0.00058244
                  11,            0.023487,           0.0083146,           0.0066495,             0.87605,             0.89409,             0.93599,             0.71064,            0.021964,           0.0055428,           0.0067476,            0.000505,            0.000505,            0.000505
                  12,             0.02221,           0.0082357,           0.0068059,              0.9251,             0.87866,             0.95159,             0.72861,            0.021506,           0.0055123,           0.0052619,          0.00042756,          0.00042756,          0.00042756
                  13,              0.0226,           0.0081516,            0.005201,              0.9097,             0.90515,             0.95165,             0.72259,            0.021551,           0.0055238,           0.0047514,          0.00035204,          0.00035204,          0.00035204
                  14,            0.021455,           0.0078147,            0.005174,             0.90731,             0.90626,             0.95474,             0.72984,            0.021166,           0.0055211,           0.0051224,          0.00028027,          0.00028027,          0.00028027
                  15,            0.021471,           0.0078644,           0.0053789,             0.91251,             0.90629,             0.95381,             0.73301,            0.020948,           0.0053714,           0.0049118,          0.00021405,          0.00021405,          0.00021405
                  16,            0.021133,           0.0076017,           0.0049007,             0.90866,             0.91419,             0.95732,             0.73588,            0.020803,           0.0052909,           0.0045284,          0.00015498,          0.00015498,          0.00015498
                  17,            0.021392,           0.0076923,           0.0047044,             0.91759,             0.91349,             0.95507,             0.73535,            0.020688,           0.0053346,           0.0046167,          0.00010454,          0.00010454,          0.00010454
                  18,            0.021417,           0.0074351,           0.0049703,             0.92731,             0.89976,             0.95401,             0.73907,            0.020478,           0.0053122,           0.0045431,          6.3952e-05,          6.3952e-05,          6.3952e-05
                  19,            0.021025,           0.0075534,           0.0046205,             0.92248,             0.90381,             0.95531,             0.74193,            0.020376,           0.0052953,           0.0045012,          3.4227e-05,          3.4227e-05,          3.4227e-05
